FID,IID,POPULATION,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CDX57,CDX57,CDX,0.0029,-0.0368,-0.0117,-0.0176,-0.0156,0.0473,0.0002,-0.002,-0.0003,-0.0071
GBR91,GBR91,GBR,0.0101,0.0115,-0.0059,-0.0043,0.0165,0.008,-0.0012,0.01,0.0096,-0.041
IBS95,IBS95,IBS,0.0091,0.0117,-0.0054,-0.0044,-0.0169,-0.0088,-0.0052,-0.0002,-0.0063,0.0061
IBS96,IBS96,IBS,0.0093,0.0111,-0.0043,-0.0052,-0.0106,-0.006,0.0011,-0.0006,-0.0005,0.0273
IBS97,IBS97,IBS,0.0094,0.012,-0.006,-0.0062,-0.0171,-0.0108,-0.0015,-0.0011,-0.0076,-0.0172
IBS98,IBS98,IBS,0.0093,0.0118,-0.005,-0.0046,-0.0125,-0.0044,-0.0019,0.0026,-0.0029,0.0031
IBS99,IBS99,IBS,0.01,0.0118,-0.0053,-0.0041,-0.0115,-0.0013,-0.0013,-0.0029,0.0009,0.03
IBS100,IBS100,IBS,0.0098,0.0119,-0.0051,-0.006,-0.0133,-0.0046,-0.0029,0.0021,0.0039,0.0269
IBS101,IBS101,IBS,0.0099,0.0118,-0.0047,-0.0037,-0.0111,-0.0077,-0.0007,-0.0117,0.0018,0.0287
IBS102,IBS102,IBS,0.009,0.0121,-0.0064,-0.006,-0.0217,-0.0077,0.0003,-0.0137,-0.0215,0.007
IBS103,IBS103,IBS,0.0085,0.0116,-0.0054,-0.0037,-0.02,-0.0109,0.0002,-0.0026,-0.0065,0.0251
IBS104,IBS104,IBS,0.0092,0.0116,-0.0047,-0.0047,-0.0194,-0.0089,0.0011,-0.0023,-0.0092,0.0028
IBS105,IBS105,IBS,0.0094,0.0118,-0.005,-0.0054,-0.0143,-0.0045,-0.0034,-0.003,0.0013,0.0237
IBS106,IBS106,IBS,0.0088,0.0119,-0.0057,-0.0052,-0.0201,-0.0068,-0.005,-0.0055,-0.0138,-0.0144
IBS107,IBS107,IBS,0.0082,0.0107,-0.0019,-0.0034,-0.0208,-0.0064,-0.0017,-0.0107,-0.0167,0.006
CDX58,CDX58,CDX,0.003,-0.0365,-0.0113,-0.0163,-0.0152,0.0431,-0.0011,-0.0044,-0.0067,-0.0096
PEL61,PEL61,PEL,0.0062,-0.0126,-0.0147,0.0672,-0.0013,0.0033,-0.0024,0.0089,0.003,-0.0171
PEL62,PEL62,PEL,0.0075,-0.0081,-0.0121,0.0569,-0.0049,0.0048,-0.0002,0.0045,0.0006,-0.0164
ACB36,ACB36,ACB,-0.0331,0.0048,-0.0014,-0.0013,0.0031,-0.0001,0.0038,0.0195,-0.0072,-0.0016
ACB37,ACB37,ACB,-0.0264,0.0054,-0.0027,0.0015,0.0051,0.0013,0.0047,0.0185,0.0098,0.032
PEL63,PEL63,PEL,0.0061,-0.0244,-0.0197,0.1032,0.0079,0.0129,0.0046,0.0135,0.0221,0.0003
PEL64,PEL64,PEL,0.0061,-0.0189,-0.0177,0.0879,0.0007,0.008,-0.0016,0.0043,0.0207,0.0074
PEL65,PEL65,PEL,0.0064,-0.0171,-0.0176,0.0823,-0.003,0.0092,-0.0013,0.0031,0.019,0.0101
PEL66,PEL66,PEL,0.0063,-0.0222,-0.0198,0.1005,0.0067,0.0133,0.0062,0.0118,0.0187,0.0047
PEL67,PEL67,PEL,0.0058,-0.0228,-0.0194,0.0969,0.005,0.0043,-0.0037,0.0026,0.0029,-0.0034
